Year,Citation,DOI,Data,Codes,Themes
2021,"Avolio, ML, et al. 2021. Determinants of community compositional change are equally affected by global change. Ecology Letters 24:1892-1904.","[10.1111/ele.13824](https://doi.org/10.1111/ele.13824){:target=""\_blank""}","[EDI Data Portal](https://doi.org/10.6073/pasta/1d54a326d6420a678b1553d493bfca1a){:target=""\_blank""}","[github](https://github.com/mavolio/CoRRE-Community-Change-Paper){:target=""\_blank""}",     &nbsp;
2021,"Williams LJ, et al. 2021. Remote spectral detection of biodiversity effects on forest biomass. Nature Ecology & Evolution 5: 46-54.","[10.1038/s41559-020-01329-4](https://www.nature.com/articles/s41559-020-01329-4){:target=""\_blank""}","[Data Repository of UMN](https://doi.org/10.13020/s7pf-am91){:target=""\_blank""}","[UMN Data Repository](https://doi.org/10.13020/s7pf-am91){:target=""\_blank""}",     &nbsp;
2021,"Williams LJ, et al. 2021. Enhanced light interception and light use efficiency explain overyielding in young tree communities. Ecology letters 24: 996-1006.","[10.1111/ele.13717](https://doi.org/10.1111/ele.13717){:target=""\_blank""}","[Dryad](https://doi.org/10.5061/dryad.9w0vt4bf1){:target=""\_blank""}",     &nbsp;,     &nbsp;
2021,"Mori AS, et al. 2021. Biodiversity-productivity relationships are key to nature-based climate solutions. Nature Climate Change 11: 543-550.","[10.1038/s41558-021-01062-1](https://doi.org/10.1038/s41558-021-01062-1){:target=""\_blank""}","[Dryad](https://doi.org/10.5061/dryad.vq83bk3s2){:target=""\_blank""}",     &nbsp;,     &nbsp;
2021,"Pellegrini AFA, et al. 2021. Decadal changes in fire frequencies shift tree communities and functional traits. Nature Ecology and Evolution 5: 504–512.","[10.1038/s41559-021-01401-7](https://www.nature.com/articles/s41559-021-01401-7){:target=""\_blank""}","Wood density [1](https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.234){:target=""\_blank""}, [2]( https://onlinelibrary-wiley-com.ezp1.lib.umn.edu/action/downloadSupplement?doi=10.1111%2Fj.1365-2486.2011.02401.x&file=GCB_2401_sm_supplinfo.doc){:target=""\_blank""}, [3]( https://www-jstor-org.ezp3.lib.umn.edu/stable/4216600?sid=primo&seq=2#metadata_info_tab_contents){:target=""\_blank""}; [plant tissue stoichiometry & mycorrhizal data](https://www.pnas.org/doi/full/10.1073/pnas.1906655116#data-availability){:target=""\_blank""}; [Supplementary Data](https://static-content.springer.com/esm/art%3A10.1038%2Fs41559-021-01401-7/MediaObjects/41559_2021_1401_MOESM3_ESM.xlsx){:target=""\_blank""} 1 & 2 for woody population size and 3 for land use data.",     &nbsp;,     &nbsp;
2021,"Pellegrini AFA, et al. 2021. Disease and fire interact to influence transitions between ecosystem states over a 54-year experiment. Ecology Letters 24: 1007-1017","[doi.org/10.1111/ele.13719](https://onlinelibrary.wiley.com/doi/10.1111/ele.13719){:target=""\_blank""}","[Oak Wilt Dataset]( https://figshare.com/articles/dataset/Dataset_for_oak_wilt/13729258/1){:target=""\_blank""}",     &nbsp;,     &nbsp;
2021,Guerrero Martinez NR et al. 2021. Global Root Traits (GRooT) Database. Global Ecol and Biogegraphy 30: 25-37.,"[10.1111/geb.13179](https://doi.org/10.1111/geb.13179){:target=""\_blank""}","[Github page](https://groot-database.github.io/GRooT/){:target=""\_blank""}","[Github](https://github.com/GRooT-Database/GRooT-Data){:target=""\_blank""}",     &nbsp;
2022,"Anoszko E, et al. 2022. Wind and fire: rapid shifts in community composition following multiple disturbances in the southern boreal forest. Ecosphere 13 (3), e3952","[10.1002/ecs2.3952](https://doi.org/10.1002/ecs2.3952){:target=""\_blank""}","[Data Repository of UMN](https://conservancy.umn.edu/handle/11299/219223){:target=""\_blank""}",     &nbsp;,     &nbsp;
2022,"Pubin Hong P, et al. 2022. Biodiversity promotes ecosystem functioning despite environmental change. Ecology Letters. 25:555–569.","[10.1111/ele.13936](https://doi.org/10.1111/ele.13936){:target=""\_blank""}","[Figshare](https://doi.org/10.6084/m9.figshare.16947451.v1){:target=""\_blank""}",     &nbsp;,5
2022,"Urgoiti J, et al. 2022. No complementarity no gain—Net diversity effects on tree productivity occur once complementarity emerges during early stand development. Ecol Letters 25 (4), 851-862","[10.1111/ele.13959](https://doi.org/10.1111/ele.13959){:target=""\_blank""}","[Figshare](https://doi-org.ezp1.lib.umn.edu/10.6084/m9.figshare.14885907.v1){:target=""\_blank""}",     &nbsp;,     &nbsp;
2022,"Belluau M, et al. Exotics are more complementary over time in tree biodiversity–ecosystem functioning experiments. Functional Ecology. 2021 Nov;35(11):2550-61.","[10.1111/1365-2435.13900](https://doi.org/10.1111/1365-2435.13900){:target=""\_blank""}","[Dryad](10.1111/1365-2435.13900){:target=""\_blank""}",     &nbsp;,     &nbsp;
